post_code,source_url,taken_at,like_count,comment_count,play_count,caption,location_name,location_lat,location_lng,user_full_name,thumbnail,is_hsinchu,address,address_count,lat,lon,geocode_status,address_clean,addresses,store_name,display_name,post_url,district
C5TTPPJPAiE,https://www.instagram.com/api/v1/media/3338096358748588164/info/,2024-04-03,135873,1665,8090495,"新竹最強炸豬排專賣店推薦！

今天要分享的「壹吉」是位於新竹東門市場
新開幕不久的炸豬排專賣店🐖
使用台灣的國產豬製做，並且都會先舒肥12小時
從150克、300克、450克都有
也有販售一些冷盤小菜與、飲料啤酒等

常常被日本的厚切豬排專賣店燒到🤤
沒想到新竹也可以吃的到巨無霸450g的豬排
(一定要先預訂才有)

而他們的豬排特選部位肥瘦比例適中
表皮炸的金黃酥脆裡面一口咬下多汁軟嫩好讚😋
每碗丼飯中的都有含一份雙倍高湯玉子蛋
想要口感更好的也很推直接再加購ㄧ份雙蛋高湯玉子
一口玉子一口搭配白飯爽度爆表

另外還可以搭配主廚自製的獨門特色醬料
招牌豬排醬是屬於名古屋風味
帶有味噌香氣的甘甜醬汁，搭配多汁厚切豬排真的讚😳
喜歡辣的也可以嘗試他們的辣醬
整體吃下來感覺是有別於市面上的豬排口感
非常推薦可以來試試！

店面是屬於日式的獨立單人坐隔間
位置只有八個座位
豬排每日數量有限售完就沒了可以早點來
導航可以於中央路90號旁路口進來東門市場

✨每日餐點限量
追加雙蛋高湯玉子 $60
特上炸豬排丼 150克 $269
特上厚切炸豬排丼 300克 $389
極厚切炸豬排丼(需預定) 450克 $549

📍 壹吉炸豬排專門店 @ichikatsuu
🕰 營業時間店家IG公布為主
🏷️ 新竹市東區大同路86號東門市場1105

#新竹 #新竹下午茶 #新竹餐廳 #新竹美食 #新竹甜點 #新竹旅遊 #新竹咖啡廳 #新竹早餐 #新竹景點 #新竹小吃 #hsinchu #hsinchufood #instafood #streatfood #taiwanfood #taiwantrip #taiwantravel #台湾グルメ #台湾旅行 #台湾観光 #台湾好きな人と繋がりたい",新竹市,24.80282,120.9712,嗨我是紹 👋🏻  新竹美食 台北美食｜SHAOYU,https://instagram.ftpe16-1.fna.fbcdn.net/v/t51.71878-15/504405611_4163829830517019_7095142073226765682_n.jpg?stp=dst-jpg_e15_p640x640_tt6&_nc_cat=102&ig_cache_key=MzMzODA5NjM1ODc0ODU4ODE2NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjcyMC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=AF-agil_s8QQ7kNvwG2rfdr&_nc_oc=AdrAAQkipkrhNk5IeP8phAZ7QAhdMF-TfNj8cx13jAJx1IkiZptcRRc-sY77BDdE4JU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe16-1.fna&_nc_gid=8awDMkjABGcbJxm3ft4Y3Q&_nc_ss=7a22e&oh=00_Af8GzFpptjzstn9-e7MC6DbypaD-BgclslDN0RTbmthKEw&oe=6A270911,True,新竹市東區大同路86號,1,24.805109,120.9692599,found,"新竹市東區大同路, 86號",,,新竹市東區大同路86號,https://www.instagram.com/p/C5TTPPJPAiE/,
DSuhPl4ksxY,https://www.instagram.com/api/v1/media/3796117742924516440/info/,2025-12-26,94285,759,2642313,"溫體牛肉鍋這個價格真的太扯，重點他的肉超多，他們家的炒麵真的必點👍，這個地點沒有在地人報根本不會來！！
80年老店值得被更多人知道😋
地址：新竹市北區西安街70號
#sam哥 #美食推薦 #新竹美食 #火鍋",西市汕頭館,24.804311973051,120.96510677251,Sam哥,https://instagram.ftpe16-1.fna.fbcdn.net/v/t51.82787-15/604872766_18396826729134673_8530413123714802733_n.jpg?stp=dst-jpg_e35_p640x640_sh2.08_tt6&_nc_cat=104&ig_cache_key=Mzc5NjExNzc0MjkyNDUxNjQ0MDE4Mzk2ODI2NzI2MTM0Njcz.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEwODAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=l8b94X2K1oMQ7kNvwFdaOlB&_nc_oc=AdqXz6zOeOyqCmvq5R5_0EF1KyMhcOw7ApL0PxN2Ek4-eX2RTQ-rWwM9zZ9Yo5v5C9s&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe16-1.fna&_nc_gid=qINa4ItlRN6bw_qfphq1wA&_nc_ss=7a22e&oh=00_Af9HhmsXHlZCdFvmQobFdErL9T8ofx1EeKe5jjbgnviZtw&oe=6A29B8FA,True,新竹市北區西安街70號,1,24.8042221,120.965153,found,"新竹市北區西安街, 70號",,年老店值得被更多人知道😋,年老店值得被更多人知道😋,https://www.instagram.com/p/DSuhPl4ksxY/,中央里
DHLpv8czuFO,https://www.instagram.com/api/v1/media/3588145142760923470/info/,2025-03-14,76984,297,2970353,"5間新竹東門市場美食分享😋

1. 壹吉炸豬排專門店 ⭐️
🏷️ 新竹市東區大同路86號東門市場1105
💡市場最強炸豬排推薦

2. 硬派主廚的軟嫩料理 東門市場店 ⭐️
🏷️ 新竹市東區東門市場1143號中央路102巷10號
💡好吃軟嫩牛排飯

3. 玩點名
🏷️ 新竹市東區東門市場1068室
💡必點宮保雞丁飯

4. 大角拉麵 ⭐️
🏷️ 新竹市東區大同路86號1022
💡 焦香雞清湯醬油拉麵

5. 東門小次郎 ⭐️
🏷️ 新竹市東區大同路86號1018
💡濃郁明太子唐揚雞定食

可以參考已經回訪過兩次會加上星星⭐️

#新竹 #新竹下午茶 #新竹餐廳 #新竹美食 #新竹甜點 #台灣美食 #新竹旅遊 #新竹咖啡廳 #新竹早餐 #新竹景點 #新竹小吃 #hsinchu #hsinchufood #taiwan #instafood",新竹市,24.80282,120.9712,嗨我是紹 👋🏻  新竹美食 台北美食｜SHAOYU,https://instagram.ftpe16-1.fna.fbcdn.net/v/t51.75761-15/483910061_18494704021042832_6204832474618931294_n.jpg?stp=dst-jpg_e15_p640x640_tt6&_nc_cat=108&ig_cache_key=MzU4ODE0NTE0Mjc2MDkyMzQ3MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjcyMC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=Bm8j8FlI62QQ7kNvwFyvhbQ&_nc_oc=AdqaxpkynhoLjYylqEAuJeGqsvBwsWw-SmGTp6A-F7-QLMEpPyr4YflAcUxlpddo8ts&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe16-1.fna&_nc_gid=FYbjADrSdibpuaxJxBVJSw&_nc_ss=7a22e&oh=00_Af-aNCDujN7R3Rb8O4uG9mWbJcgnhhCe0eDbvUGgdc33jQ&oe=6A270F4C,True,新竹市東區大同路86號,4,24.805109,120.9692599,found,"新竹市東區大同路, 86號",,壹吉炸豬排專門店 ⭐️,壹吉炸豬排專門店 ⭐️,https://www.instagram.com/p/DHLpv8czuFO/,
C7gjRXGvvAl,https://www.instagram.com/api/v1/media/3377854845196103717/info/,2024-05-28,75292,612,2673622,"探店 第79集 客家訪談很緊繃 

📍 呂順興餅舖
📭 地址：新竹縣新埔鎮中正路312號
⏰ 營業時間：
周一至周六 06:30–22:30
週日 06:30–21:00
☎️ 聯絡電話：035882232

#名偵探店 #名偵探七七 #客家 #新竹美食 #新埔美食 #喜餅 #喜餅禮盒 #傳統美食 #親情 #探店 #宣傳影片",呂順興餅舖,24.827637448248,121.08039412783,名偵探店,https://instagram.ftpe16-1.fna.fbcdn.net/v/t51.71878-15/502986108_23882091454758094_8673344819355426014_n.jpg?stp=dst-jpg_e35_p640x640_sh2.08_tt6&_nc_cat=102&ig_cache_key=MzM3Nzg1NDg0NTE5NjEwMzcxNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEwODAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=TGF-76Jni7YQ7kNvwGnfZ9r&_nc_oc=Adp9WUxJ0rRtwxAWKC3QTlM5YkBrty5bn2O0w-VHAaXVASIl-O5Z0nJmH0hhTlSSUtk&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe16-1.fna&_nc_gid=hohyz832s-9vL9fmaL1hjQ&_nc_ss=7a22e&oh=00_Af8wniC0VbjIjzDUKGIWmHMV9Kav_XL7grX6SRrRnzzdKg&oe=6A26EBE2,True,新竹縣新埔鎮中正路312號,1,24.8277895,121.0804689,found,"新竹縣新埔鎮中正路, 312號",,呂順興餅舖,呂順興餅舖,https://www.instagram.com/p/C7gjRXGvvAl/,四座里
C7tciACShZN,https://www.instagram.com/api/v1/media/3381484377028040269/info/,2024-06-02,68385,445,4207781,"最有誠意的燒肉吃到飽🤩🤩
手搖飲、日本冰無限供應

手搖飲還不是隨便的那種
連楊枝甘露和草莓牛奶都有
跟外面賣得差不多超厲害

這間總共分7種價位
一般菜單$858/$998/$1069/$1168
預約制和牛$1880/$2280/$2980

慶祝節日建議直攻最奢價位
提供的和牛品項多達17種
根本直接達成攻略全部位

提供的海鮮也非常不錯🤤🤤
有生食級的干貝和紅蝦
光干貝就直接一人吃了6顆

另外點和牛菜單會
幫忙代烤以及剝蝦殼
還沒吃過的趕緊訂位吧！
-
📍吃肉肉燒肉專門店-竹北店
🚙新竹縣竹北市縣政二路462號
☎️03-6572226

📍吃肉肉燒肉專門店-桃園店
🚙桃園市桃園區春日路636號2樓
☎️03-3567766

🕒週一到週四11:30-16:00/17:30-22:30
週五11:30-16:00/17:30-00:30
假日11:00-00:30
-
#吃一口新竹#吃一口桃園#新竹美食#新竹燒肉吃到飽#新竹吃到飽#新竹燒烤#桃園#桃園美食#桃園燒肉#桃園燒肉吃到飽#桃園吃到飽#桃園燒烤#藝文特區#藝文特區美食#燒肉吃到飽",吃肉肉燒肉專門店-竹北店,24.829079280474,121.01740264893,吃一口•͈ ౿ •͈ 丨桃園 中壢 台北 美食 住宿,https://instagram.ftpe16-1.fna.fbcdn.net/v/t51.71878-15/503603860_597326472814690_2431563341094770329_n.jpg?stp=dst-jpg_e35_p640x640_sh2.08_tt6&_nc_cat=102&ig_cache_key=MzM4MTQ4NDM3NzAyODA0MDI2OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjExNjYuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=6M7P4_sRjHQQ7kNvwFI8Jsc&_nc_oc=AdrjaAMFtOu0U5sjofmibwCe9Oi9jm-UeH0p2clpV44V-KQMf9Texi5UUl4dtzcoZWA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe16-1.fna&_nc_gid=T78j0SHqSJdtnc4aCt9VEg&_nc_ss=7a22e&oh=00_Af8vwH-7cXTmAakFyeApszEke476bLFEZVm9DI6gqxsrvw&oe=6A26E4B5,True,新竹縣竹北市縣政二路462號,1,24.8291006,121.0174085,found,"新竹縣竹北市縣政二路, 462號",,吃肉肉燒肉專門店-竹北店,吃肉肉燒肉專門店-竹北店,https://www.instagram.com/p/C7tciACShZN/,興安里
DPV-a8TAVTH,https://www.instagram.com/api/v1/media/3735165996307141831/info/,2025-10-03,62560,350,1714702,"【新開幕$780壽司吃到飽大胃王吃100貫】
新竹新開幕的單點級壽司吃到飽只要$780！
壽司/丼飯/壽司捲/味噌湯/生魚片全部吃到飽！
每貫壽司現點現做！外帶30顆也只要$780！
大胃王直接點100顆壽司輕鬆吃回本！Cp值超高！

店名：宗初壽司｜吃到飽壽司-竹北店
地址：新竹縣竹北市光明六路95號

#大胃王 #吃播 #mukbang #新竹
#ASMR #新竹 #新竹美食 #新竹午餐
#新竹晚餐 #新竹宵夜 #新竹美食 #新開幕
#新竹必吃 #新竹必吃美食 #干貝 #壽司
#壽司吃到飽 #鮭魚 #吃到飽 #生魚片吃到飽
#宗初壽司 #竹北 #生魚片 #日本料理 #丼飯",,,,傑克開吃,https://instagram.ftpe16-1.fna.fbcdn.net/v/t51.82787-15/560256456_18322316029215419_5535537762179575125_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=MzczNTE2NTk5NjMwNzE0MTgzMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjU0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=Of6nsHK0MzwQ7kNvwEfXZij&_nc_oc=AdrBkv5VNkAf3HtI0Sv8KWdmoscdv4_naVTyAmcU03VWuHrO0I9z9W17DSCyesYYPtA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe16-1.fna&_nc_gid=n1wS3BUb-8YZ4yxBVpdJqw&_nc_ss=7a22e&oh=00_Af_HFPQki8uAp_fUju5o1cvNalOTbyXv6_KVxebdm8e3zg&oe=6A271132,True,新竹縣竹北市光明六路95號,1,24.8271201,121.0087222,found,"新竹縣竹北市光明六路, 95號",,,新竹縣竹北市光明六路95號,https://www.instagram.com/p/DPV-a8TAVTH/,中崙里
DSmW5AukiPD,https://www.instagram.com/api/v1/media/3793820410920969155/info/,2025-12-23,46616,196,1491050,"新竹火車站對面的牛排店最低$340薯條 自助吧無限吃到飽

自助吧有包含切得很大塊的水果（當天有香瓜、西瓜、葡萄、柳丁、蘋果、百香果）羅宋湯、玉米濃湯跟各種飲料
點完餐後會先送上薯條跟餐包（薯條可以無限續）
嫩煎沙朗是用新鮮的原塊肉 外層煎到焦香
肉質是紮實有咬勁 帶有滿滿肉汁的那種
超大塊的肋眼牛排 店員會幫忙把油脂豐富的部分
切下來做成炒飯 （炒飯及旁邊的配菜都可以無限續）
不管是吃原味還是搭配醬料都很好吃
這裡還吃得到德國豬腳
口感是脆脆油香油香的

📍Mr.steak史堤克牛排新竹店
🗺️ 新竹市東區林森路2巷9號2樓
⏳11:30-14:30 17:00-21:30（一到五）
11:30-15:00 17:00-21:30（六日）

#新竹美食 #新竹必吃 #新竹牛排 #新竹餐廳 #史提克牛排",史堤克先生Mr.Steak 新竹店,24.80225,120.97091,薯薯 ՞• •՞  新竹美食 台中美食,https://instagram.ftpe16-1.fna.fbcdn.net/v/t51.71878-15/604158499_828543070011160_764980169464032394_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzc5MzgyMDQxMDkyMDk2OTE1NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=-Jxsg_G-LrwQ7kNvwGOnY0j&_nc_oc=Adp6trduYxhny03J7SBoEPnTWdIZVXtpMiYQbvBZoHLu5gLYdUknVC7PQevWZe9CQlA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe16-1.fna&_nc_gid=SbcoUA5c8pPQHua0tHLA8Q&_nc_ss=7a22e&oh=00_Af-a0gSQWzzG2wfaUSMmPu0ekeuG9DdMJTfpSU8PLGbVGA&oe=6A26F3AE,True,新竹市東區林森路2巷9號,1,24.8024308,120.9709871,found,"新竹市東區林森路2巷, 9號",,,新竹市東區林森路2巷9號,https://www.instagram.com/p/DSmW5AukiPD/,榮光里
Cr3SmOoM0U5,https://www.instagram.com/api/v1/media/3096025060724655417/info/,2023-05-05,46487,414,2002409,"這些小吃都藏在內灣老街的巷子裡！

從小到大去老街至少２０次以上
這幾間都是超人氣的店竟然一次都沒吃過（遜）

這樣走可以避開人潮壅擠的主街
逛起來會比較舒服👌🏻

📍橫山青夏-> 📍芋園豆花創始店-> 📍陽光倉庫-> 
📍山中傳奇-> 📍 一勺百茶堂茶堂

1、 橫山青夏 @aonatsu.oyatsu 
📍 新竹縣橫山鄉和平街13號
💡 甜點預約制！冰淇淋不用哦

2、內灣老街芋圓豆花創始店
📍 新竹縣橫山鄉中正路333號
💡 必點綜合粉圓冰！料多到炸掉

3、山中傳奇鮮奶麻糬
📍 新竹縣橫山鄉光復路18號
💡 全鮮奶製麻糬！入口即化

4、 陽光倉庫 黑糖糕
📍 新竹縣橫山鄉中正路313號
💡 必買辦手禮，多種口味Ｑ彈黑糖糕

5、一勺百茶堂
📍 新竹縣橫山鄉中正路271號
💡 這家的客家小炒、蛋、油雞很符合我味讚，我會再去吃！但經營模式比較”特別“ 可以先參考google評價

#新竹 #新竹餐廳 #新竹美食 #旅遊 #新竹甜點 #新竹內灣 #內灣 #新竹旅遊 #新竹景點 #新竹小吃 #hsinchu #hsinchufood",內灣老街,24.704842762644,121.18199417198,嗨我是紹 👋🏻  新竹美食 台北美食｜SHAOYU,https://instagram.ftpe16-1.fna.fbcdn.net/v/t51.71878-15/496930355_1824066061500342_3193132592978386498_n.jpg?stp=dst-jpg_e35_p640x640_sh2.08_tt6&_nc_cat=111&ig_cache_key=MzA5NjAyNTA2MDcyNDY1NTQxNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEwODAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=GBR9nY5uB5sQ7kNvwFAUM6I&_nc_oc=AdoHkU6sDZYExDNLC5jPHOOEa3jHD0RgFKeipCNqU18yYKIdMf7KR4FwEfHsi3P7NzU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe16-1.fna&_nc_gid=N5lnEWxH6MwgzDDDxfUA2w&_nc_ss=7a22e&oh=00_Af-lkTJe_WS1l4S2EmyLiGMq0WDyO0EQr80WHPVof3YntQ&oe=6A26EFCA,True,新竹縣橫山鄉和平街13號,5,24.705839,121.1811013,found,"新竹縣橫山鄉和平街, 13號",,、 橫山青夏,、 橫山青夏,https://www.instagram.com/p/Cr3SmOoM0U5/,內灣村
DSeI_2SEu6H,https://www.instagram.com/api/v1/media/3791507508276948615/info/,2025-12-20,36128,259,1462618,"一片$15我有看錯嗎？😵‍💫
料超多的鮭魚味噌湯喝到飽也是很佛心
來這裡吃鮭魚大餐真的最適合不過了
從店外到店內滿滿的日式氛圍超好拍
你們一定要來體驗看看！

🚩#今日魚市 竹北光明店
地址：新竹縣竹北市光明一路165號
營業時間：1130 - 1430；1730 - 2130
電話：03-657-0608

（南京店）台北市中山區南京東路二段140號B1
（光華三創店）台北市中正區八德路一段39號
（竹科關新店）新竹市東區關新西街69號

#新竹美食 #竹科 #新竹日料 #竹北美食",,,,表弟吃喝娛樂｜高雄美食｜台北美食｜台中美食｜台南美食,https://instagram.ftpe16-1.fna.fbcdn.net/v/t51.71878-15/601957477_1253738656689114_4068293028946704205_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzc5MTUwNzUwODI3Njk0ODYxNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=Dn5TVt9HHtwQ7kNvwFcuGDn&_nc_oc=Adqixm1_mPjXc92wBFVrcq6RR0FaV70YJvriTdANtrBZbZGRIrLqd_A7moaOqFVSWvk&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe16-1.fna&_nc_gid=om-p2MUUIggz11CCWcNCyw&_nc_ss=7a22e&oh=00_Af9ktQ7NoqdwZ40X_lfe_wHK6GxPo_gLiv3IX2EwpuwusA&oe=6A29B772,True,新竹縣竹北市光明一路165號,2,24.7882207,121.0191905,found,"新竹縣竹北市光明一路, 165號",,🚩#今日魚市 竹北光明店,🚩#今日魚市 竹北光明店,https://www.instagram.com/p/DSeI_2SEu6H/,關新里
DOXf2YHEpUD,https://www.instagram.com/api/v1/media/3717580093599683843/info/,2025-09-09,28431,205,2059556,"這裡獨有的小吃
已經賣超過一甲子了！
純白的麥芽餅
加上花生碎粒、香菜
(香菜可加可不加)
都是純手工現點現做
會越嚼越香那種～～
來新竹城隍廟，一定要試試
-
🔹一個$15
-
🏠：桂紅茯苓糕 麥芽糖
🚇：新竹火車站👣11分鐘
🚩：新竹城隍廟周圍
📍：300新竹市北區中山路96號
📞：0916-666-532
🕔：11:00-18:00(週一公休)
-
🔍分類搜尋
✨#燕兒新竹 #燕兒小吃 #燕兒桂紅麥芽糖
✨#桂紅茯苓糕 #桂紅麥芽糖 #白色麥芽糖
✨#新竹美食 #新竹小吃 #新竹甜點 #新竹麥芽糖 #城隍廟美食 #新竹隍廟美食",新竹城隍廟,24.9344003,121.128826,燕燕🍴美食 旅遊 生活｜美食樂園,https://instagram.ftpe16-1.fna.fbcdn.net/v/t51.71878-15/543649207_1996505874426406_1085662100623398902_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=MzcxNzU4MDA5MzU5OTY4Mzg0Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=og3HBJ9cAVwQ7kNvwG6NxcX&_nc_oc=AdorrsRCEbiifXEmbEkJXxjLzNz9uCPDRCgSwrtC7lxROBUggGJ_YYev1mpO8mkNWsM&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftpe16-1.fna&_nc_gid=aXvSKMW7yN5royejYWj1kg&_nc_ss=7a22e&oh=00_Af8NqN2sBkE8rSM968oX9X51hCSfwJ-zDHymgd3Tev9d5A&oe=6A26DF8D,True,新竹市北區中山路96號,1,24.8047681,120.9652657,found,"新竹市北區中山路, 96號",,🚩：新竹城隍廟周圍,🚩：新竹城隍廟周圍,https://www.instagram.com/p/DOXf2YHEpUD/,西門里
